taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,category,main_common_name
170945,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,PRISTILOMATIDAE,Vitrea,Vitrea diaphana,"(S. Studer, 1820)",,,,LC,
170946,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,COCHLICOPIDAE,Hypnophila,Hypnophila dohrni,"(Paulucci, 1882)",,,,LC,
170947,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,SPELAEODISCIDAE,Spelaeodiscus,Spelaeodiscus albanicus,"(A.J. Wagner, 1914)",,,,LC,
170948,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ARIONIDAE,Arion,Arion hortensis,"A. Férussac, 1819",,,,LC,
170949,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Alopia,Alopia plumbea,"(Rossmässler, 1839)",,,,LC,
170950,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,LIMACIDAE,Limax,Limax dacampi,"Menegazzi, 1855",,,,LC,
170951,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ZONITIDAE,Aegopis,Aegopis gemonensis,"(A. Férussac, 1832)",,,,LC,
170952,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ARIONIDAE,Arion,Arion wiktori,"Parejo &amp; Martín, 1990",,,,DD,
170954,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Strigillaria,Strigillaria rugicollis,"(Rossmässler, 1836)",,,,LC,
170955,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Albinaria,Albinaria klemmi,"O. Paget, 1971",,,,VU,
170956,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Albinaria,Albinaria schuchii,"(Rossmässler, 1836)",,,,LC,
170957,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Isabellaria,Isabellaria isabellina,"(L. Pfeiffer, 1842)",,,,LC,
170959,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Oxychilus,Oxychilus miceui,"Frias Martins, 1989",,,,NT,
170961,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Retinella,Retinella circumsessa,"(Shuttleworth, 1852)",,,,LC,
170962,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ARIONIDAE,Arion,Arion owenii,"Davies, 1979",,,,LC,
170964,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Albinaria,Albinaria violacea,"Schilthuizen &amp; E. Gittenberger, 1990",,,,VU,
170965,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Albinaria,Albinaria zilchi,"Fauer, 1993",,,,VU,
170966,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Albinaria,Albinaria maltzani,"(O. Boettger, 1883)",,,,LC,
170968,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Charpentieria,Charpentieria stenzii,"(Rossmässler, 1836)",,,,LC,
170969,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Mediterranea,Mediterranea planorbis,"(Moellendorff, 1899)",,,,LC,
170970,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Oxychilus,Oxychilus volutella,"(L. Pfeiffer, 1856)",,,,LC,
170971,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Carpathica,Carpathica langi,"(L. Pfeiffer, 1846)",,,,LC,
170972,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Medora,Medora armata,"(Küster, 1844)",,,,NT,
170973,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Albinaria,Albinaria voithii,"(Rossmässler, 1836)",,,,LC,
170974,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Montenegrina,Montenegrina fuchsi,"R.A. Brandt, 1961",,,,LC,
170975,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,MILACIDAE,Tandonia,Tandonia piriniana,"Wiktor, 1983",,,,NT,
170976,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ZONITIDAE,Aegopis,Aegopis verticillus,"(Lamarck, 1822)",,,,LC,
170977,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,FERUSSACIIDAE,Coilostele,Coilostele acus,"(L. Pfeiffer, 1854)",,,,DD,
170978,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Carinigera,Carinigera tantilla,"(R.A. Brandt, 1972)",,,,CR,
170980,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Delima,Delima montenegrina,"(Pfeiffer, 1848)",,,,LC,
170981,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,STROBILOPSIDAE,Virpazaria,Virpazaria adrianae,"E. Gittenberger, 1969",,,,LC,
170982,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Cochlodina,Cochlodina comensis,"(L. Pfeiffer, 1850)",,,,LC,
170983,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,LIMACIDAE,Lehmannia,Lehmannia medioflagellata,"Lupu, 1968",,,,VU,
170984,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Muticaria,Muticaria neuteboomi,"Beckmann, 1990",,,,LC,
170985,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Delima,Delima albocincta,"(L. Pfeiffer, 1841)",,,,LC,
170986,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Strigillaria,Strigillaria varnensis,"(L. Pfeiffer, 1848)",,,,LC,
170987,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Albinaria,Albinaria solicola,"Neubert, 1998",,,,NT,
170988,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,STREPTAXIDAE,Gibbulinella,Gibbulinella dealbata,"(Webb &amp; Berthelot, 1833)",,,,LC,
170989,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ARIONIDAE,Arion,Arion circumscriptus,"Johnston, 1828",,,,LC,
170990,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Medora,Medora stenostoma,"(Rossmässler, 1839)",,,,NT,
170991,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Montenegrina,Montenegrina laxa,"(Küster, 1860)",,,,LC,
170993,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Carinigera,Carinigera octava,"R.A. Brandt, 1962",,,,VU,
170994,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,LIMACIDAE,Lehmannia,Lehmannia szigethyae,"Wiktor, 1975",,,,LC,
170996,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Carinigera,Carinigera pharsalica,"H. Nordsieck, 1974",,,,EN,
170997,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Mediterranea,Mediterranea adamii,"(Westerlund, 1886)",,,,LC,
170998,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,LIMACIDAE,Limax,Limax pironae,"Pini, 1876",,,,DD,
170999,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,LIMACIDAE,Limax,Limax redii,"Gerhardt, 1933",,,,LC,
171000,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Montenegrina,Montenegrina stankovici,"(Urbański, 1960)",,,,VU,
171001,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Herilla,Herilla durmitoris,"(O. Boettger, 1909)",,,,LC,
171002,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,MILACIDAE,Tandonia,Tandonia budapestensis,"(Hazay, 1880)",,,,LC,
171003,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Carinigera,Carinigera superba,"H. Nordsieck, 1977",,,,EN,
171004,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,LAURIIDAE,Leiostyla,Leiostyla cassida,"(Lowe, 1831)",,,,CR,
171005,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Agathylla,Agathylla narentana,"(A. Schmidt, 1868)",,,,NT,
171006,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Albinaria,Albinaria freytagi,"(O. Boettger, 1889)",,,,LC,
171007,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Graciliaria,Graciliaria inserta,"(Porro, 1841)",,,,LC,
171009,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ARIONIDAE,Arion,Arion fagophilus,"de Winter, 1986",,,,LC,
171010,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,PRISTILOMATIDAE,Vermetum,Vermetum festinans,"(Shuttleworth, 1852)",,,,CR,
171012,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Albinaria,Albinaria candida,"(L. Pfeiffer, 1850)",,,,LC,
171013,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Triloba,Triloba thaumasia,"(Sturany, 1907)",,,,LC,
171014,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Inchoatia,Inchoatia regina,"(H. Nordsieck, 1972)",,,,LC,
171015,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Cibinia,Cibinia nana,"(Grossu, 1969)",,,,VU,
171016,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ARIONIDAE,Arion,Arion rufus,"(Linnaeus, 1758)",,,,LC,
171018,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Bulgarica,Bulgarica pindica,"H. Nordsieck, 1974",,,,VU,
171019,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Retinella,Retinella olivetorum,"(Gmelin, 1791)",,,,LC,
171021,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Medora,Medora hiltrudae,"H. Nordsieck, 1970",,,,NT,
171022,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ARIONIDAE,Arion,Arion magnus,"Torres Mínguez, 1923",,,,DD,
171024,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ARIONIDAE,Arion,Arion anthracius,"Bourguignat, 1866",,,,LC,
171026,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Stigmatica,Stigmatica stigmatica,"(Rossmässler, 1836)",,,,LC,
171027,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,MILACIDAE,Tandonia,Tandonia reuleauxi,"(Clessin, 1887)",,,,LC,
171028,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,LIMACIDAE,Malacolimax,Malacolimax tenellus,"(O.F. Müller, 1774)",,,,LC,
171029,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Albinaria,Albinaria avia,"(Charpentier, 1852)",,,,LC,
171031,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Retinella,Retinella giustii,"Riedel, 1998",,,,LC,
171032,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Charpentieria,Charpentieria septemplicata,"(Philippi, 1836)",,,,NT,
171033,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Charpentieria,Charpentieria grohmanniana,"(Rossmässler, 1836)",,,,EN,
171034,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,PRISTILOMATIDAE,Lindbergia,Lindbergia pinteri,"A. Riedel, 1981",,,,VU,
171035,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ZONITIDAE,Aegopis,Aegopis tenerrimus,"(Brancsik, 1890)",,,,NT,
171038,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Stigmatica,Stigmatica lamellata,"(Rossmässler, 1836)",,,,LC,
171039,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Albinaria,Albinaria litoraria,"Neubert, 1998",,,,NT,
171040,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,FERUSSACIIDAE,Cecilioides,Cecilioides rizzeana,"(Benoit, 1862)",,,,DD,
171042,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Vestia,Vestia ranojevici,"(Pavlović, 1912)",,,,LC,
171043,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,PRISTILOMATIDAE,Vitrea,Vitrea kutschigi,"(Walderdorff, 1864)",,,,LC,
171044,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Albinaria,Albinaria tenuicostata,"(L. Pfeiffer, 1864)",,,,LC,
171046,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Carinigera,Carinigera liebegottae,"(H. Nordsieck, 1984)",,,,EN,
171047,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Delima,Delima giselae,"A.J. Wagner, 1914",,,,DD,
171049,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,FERUSSACIIDAE,Cecilioides,Cecilioides petitiana,"(Benoit, 1862)",,,,DD,
171050,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Albinaria,Albinaria cretensis,"(Rossmässler, 1836)",,,,LC,
171051,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Mediterranea,Mediterranea wiktori,"(Riedel, 1997)",,,,LC,
171052,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,STROBILOPSIDAE,Virpazaria,Virpazaria ripkeni,"E. Gittenberger, 1969",,,,LC,
171054,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ZONITIDAE,Doraegopis,Doraegopis carinatus,"E. Gittenberger, 1999",,,,EN,
171055,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Macedonica,Macedonica frauenfeldi,"(Rossmässler, 1856)",,,,LC,
171056,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Oxychilus,Oxychilus gardinii,"Manganelli, Bodon &amp; Giusti, 1991",,,,LC,
171057,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,DISCIDAE,Atlantica,Atlantica putrescens,"(R.T. Lowe, 1861)",,,,CR,
171058,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ARIONIDAE,Geomalacus,Geomalacus oliveirae,"Simroth, 1891",,,,NT,
171059,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Oxychilus,Oxychilus uziellii,"(Issel, 1872)",,,,LC,
171060,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Vallatia,Vallatia vallata,"(Mousson, 1859)",,,,LC,
171061,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,PRISTILOMATIDAE,Vitrea,Vitrea subcarinata,"(Clessin, 1877)",,,,LC,
171062,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Oxychilus,Oxychilus canini,"(Benoit, 1857)",,,,NT,
171063,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Albinaria,Albinaria idaea,"(L. Pfeiffer, 1850)",,,,LC,
171065,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Macrogastra,Macrogastra badia,"(C. Pfeiffer, 1828)",,,,LC,
171066,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,FERUSSACIIDAE,Cecilioides,Cecilioides actoniana,"(Benoit, 1862)",,,,DD,
171067,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,GASTRODONTIDAE,Janulus,Janulus pompylius,"(Shuttleworth, 1852)",,,,CR,
171068,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,LIMACIDAE,Limax,Limax wolterstorffi,"Simroth, 1900",,,,LC,
171070,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Idyla,Idyla liebegottae,"H. Nordsieck, 1984",,,,VU,
171071,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Tsoukatosia,Tsoukatosia christinae,"A. Reischütz &amp; P.L. Reischütz, 2003",,,,LC,
171072,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,LIMACIDAE,Lehmannia,Lehmannia horezia,"Grossu &amp; Lupu, 1962",,,,LC,
171073,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,LIMACIDAE,Ambigolimax,Ambigolimax nyctelius,"(Bourguignat, 1861)",,,,LC,
171074,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Strigillaria,Strigillaria urbanskii,"(H. Nordsieck, 1973)",,,,NT,
171075,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Sciocochlea,Sciocochlea collasi,"(Sturany, 1904)",,,,NT,
171076,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Stigmatica,Stigmatica pantocratoris,"(O. Boettger, 1889)",,,,LC,
171077,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Leucostigma,Leucostigma candidescens,"(Rossmässler, 1835)",,,,LC,
171078,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Carinigera,Carinigera pellucida,"Dedov &amp; Neubert, 2002",,,,EN,
171079,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,TESTACELLIDAE,Testacella,Testacella haliotidea,"Draparnaud, 1801",,,,LC,Testacelle commune
171080,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,MILACIDAE,Tandonia,Tandonia dalmatina,"(Simroth, 1900)",,,,DD,
171081,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,SPHINCTEROCHILIDAE,Sphincterochila,Sphincterochila insularis,"(O. Boettger, 1894)",,,,EN,
171082,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,FERUSSACIIDAE,Cecilioides,Cecilioides stephaniana,"(Benoit, 1862)",,,,DD,
171083,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Carinigera,Carinigera schuetti,"R.A. Brandt, 1962",,,,LC,
171084,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Macedonica,Macedonica pirotana,"(Pavlović, 1912)",,,,LC,
171086,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Oxychilus,Oxychilus navarricus,"(Bourguignat, 1870)",,,,LC,
171087,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Oxychilus,Oxychilus lathyri,"(Mabille, 1869)",,,,NT,Luisant de Bastia
171088,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Schistophallus,Schistophallus oscari,"(M. von Kimakowicz, 1883)",,,,NT,
171089,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Delima,Delima vidovichii,"(L. Pfeiffer, 1846)",,,,LC,
171090,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Bulgarica,Bulgarica moellendorffi,"H. Nordsieck, 1972",,,,VU,
171091,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Daudebardia,Daudebardia wiktori,"Riedel, 1967",,,,LC,
171092,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Laciniaria,Laciniaria bajula,"(A. Schmidt, 1868)",,,,LC,
171093,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,PRISTILOMATIDAE,Gyralina,Gyralina pageti,"E. Gittenberger, 1988",,,,VU,
171094,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Retinella,Retinella rochebruni,"(J. Mabille, 1882)",,,,LC,
171095,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,LIMACIDAE,Limax,Limax dobrogicus,"Grossu &amp; Lupu, 1960",,,,VU,
171096,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Cochlodina,Cochlodina dubiosa,"(Clessin, 1882)",,,,LC,
171097,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Mentissa,Mentissa canalifera,"(Rossmässler, 1836)",,,,LC,
171098,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,FERUSSACIIDAE,Ferussacia,Ferussacia tumidula,"(Wollaston, 1878)",,,,DD,
171099,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,LAURIIDAE,Leiostyla,Leiostyla colvillei,"Seddon &amp; Killeen, 1996",,,,VU,
171100,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Oxychilus,Oxychilus aegopinoides,"(von Maltzan, 1883)",,,,EN,
171101,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Albinaria,Albinaria torticollis,"(Olivier, 1801)",,,,NT,
171102,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,SUCCINEIDAE,Oxyloma,Oxyloma pinteri,"Grossu, 1987",,,,VU,
171103,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Balea,Balea nitida,"Mousson, 1858",,,,NT,
171104,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Oxychilus,Oxychilus spectabilis,"(Milne-Edwards, 1885)",,,,LC,
171105,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Retinella,Retinella incerta,"(Draparnaud, 1805)",,,,LC,
171106,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,FERUSSACIIDAE,Cecilioides,Cecilioides jeskalovicensis,"A.J. Wagner, 1914",,,,CR,
171107,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Dilataria,Dilataria succineata,"(Rossmässler, 1836)",,,,LC,
171108,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ZONITIDAE,Doraegopis,Doraegopis euboeicus,"Bank &amp; Menkhorst, 1988",,,,EN,
171109,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Bulgarica,Bulgarica pavlovici,"Nordsieck, 1972",,,,NT,
171110,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Carinigera,Carinigera lophauchena,"(Sturany, 1894)",,,,EN,
171111,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,PRISTILOMATIDAE,Lindbergia,Lindbergia gittenbergeri,"L. Pintér &amp; A. Riedel, 1983",,,,CR,
171112,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,DISCIDAE,Atlantica,Atlantica retexta,"(Shuttleworth, 1852)",,,,DD,
171113,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,OXYCHILIDAE,Cibinia,Cibinia transsilvanica,"(Bielz, 1859)",,,,DD,
171114,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,FERUSSACIIDAE,Ferussacia,Ferussacia attenuata,"(Mousson, 1872)",,,,LC,
171116,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ARIONIDAE,Arion,Arion euthymeanus,"Florence, 1886",,,,DD,
171117,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ZONITIDAE,Doraegopis,Doraegopis boeoticus,"(Riedel, 1980)",,,,NT,
171118,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,MILACIDAE,Milax,Milax verrucosus,"Wiktor, 1969",,,,LC,
171119,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,SUCCINEIDAE,Oxyloma,Oxyloma dunkeri,"(L. Pfeiffer, 1865)",,,,DD,
171120,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ZONITIDAE,Balcanodiscus,Balcanodiscus magnus,"P.L. Reischütz, 1988",,,,NT,
171121,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ZONITIDAE,Allaegopis,Allaegopis subariedeli,"E. Gittenberger, 1999",,,,VU,
171123,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Isabellaria,Isabellaria perplana,"(O. Boettger, 1877)",,,,LC,
171125,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ARIONIDAE,Arion,Arion gilvus,"Torres Mínguez, 1925",,,,LC,
171126,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CLAUSILIIDAE,Delima,Delima edmibrani,"Štamol &amp; Slapnik, 2002",,,,NT,
